branch,document_id,criterion_id,repair_action,repair_applied,repair_skipped_reason,field_changed,operator,value_type,old_value,new_value,old_unit,new_unit,old_temporal_context,new_temporal_context,old_computability,new_computability,old_non_computable_reason,new_non_computable_reason,layer3_primary_action,layer3_action_family,layer1a_action_category,layer1a_action_hint,all_layer1_codes,normalized_issue_codes,evidence_text
A,NCT00319748,NCT00319748_inc__item4_C1,computable_with_exception_context,1,,computability;non_computable_reason,exists,null,,,,,,,computable,partial,,exception_context_unresolved,safe_structural_repair_candidate,structural_repair,safe_normalization_candidate,Set computability='partial' and non_computable_reason='exception_context_unresolved'.,computable_with_exception_context|duplicate_identical_leaf|layer1a:computable_with_exception_context|layer1b:duplicate_identical_leaf,computable_with_exception_context;duplicate_identical_leaf,If female and of childbearing potential
A,NCT00319748,NCT00319748_inc__item4_C2,computable_with_exception_context,1,,computability;non_computable_reason,exists,null,,,,,,,computable,partial,,exception_context_unresolved,safe_structural_repair_candidate,structural_repair,safe_normalization_candidate,Set computability='partial' and non_computable_reason='exception_context_unresolved'.,computable_with_exception_context|duplicate_identical_leaf|layer1a:computable_with_exception_context|layer1b:duplicate_identical_leaf,computable_with_exception_context;duplicate_identical_leaf,If female and of childbearing potential
A,NCT00319748,NCT00319748_inc__item13_C4,computable_with_exception_context,1,,computability;non_computable_reason,exists,null,,,,,,,computable,partial,,exception_context_unresolved,safe_structural_repair_candidate,structural_repair,safe_normalization_candidate,Set computability='partial' and non_computable_reason='exception_context_unresolved'.,computable_with_exception_context|duplicate_identical_leaf|exception_clause_computable_despite_context|layer1a:computable_with_exception_context|layer1b:duplicate_identical_leaf|layer1d:exception_clause_computable_despite_context,computable_with_exception_context;duplicate_identical_leaf;exception_clause_computable_despite_context,"If patient has progressed through hormone or trastuzumab therapy only, must have received one chemotherapy regimen."
A,NCT00319748,NCT00319748_inc__item13_C5,computable_with_exception_context,1,,computability;non_computable_reason,exists,null,,,,,,,computable,partial,,exception_context_unresolved,safe_structural_repair_candidate,structural_repair,safe_normalization_candidate,Set computability='partial' and non_computable_reason='exception_context_unresolved'.,computable_with_exception_context|duplicate_identical_leaf|exception_clause_computable_despite_context|layer1a:computable_with_exception_context|layer1b:duplicate_identical_leaf|layer1d:exception_clause_computable_despite_context,computable_with_exception_context;duplicate_identical_leaf;exception_clause_computable_despite_context,"If patient has progressed through hormone or trastuzumab therapy only, must have received one chemotherapy regimen."
A,NCT00319748,NCT00319748_exc__item16_C2,computable_with_exception_context,1,,computability;non_computable_reason,<,scalar,5,5,years,years,,,computable,partial,,exception_context_unresolved,safe_structural_repair_candidate,structural_repair,safe_normalization_candidate,Set computability='partial' and non_computable_reason='exception_context_unresolved'.,comparison_with_non_quantitative_entity|computable_with_exception_context|entity_text_too_generic|layer1a:computable_with_exception_context|layer1c:comparison_with_non_quantitative_entity|layer1c:entity_text_too_generic,comparison_with_non_quantitative_entity;computable_with_exception_context;entity_text_too_generic,"if in remission, at least 5 years disease free"
A,NCT01793519,NCT01793519_inc__item3_C8,computable_with_exception_context,1,,computability;non_computable_reason,not_exists,null,,,,,"{""relation"": ""before"", ""value"": null, ""unit"": null, ""anchor_event"": ""baseline""}","{""relation"": ""before"", ""value"": null, ""unit"": null, ""anchor_event"": ""baseline""}",computable,partial,,exception_context_unresolved,safe_structural_repair_candidate,structural_repair,safe_normalization_candidate,Set computability='partial' and non_computable_reason='exception_context_unresolved'.,computable_with_exception_context|duration_marker_missing_from_temporal_context|layer1a:computable_with_exception_context|layer1c:duration_marker_missing_from_temporal_context,computable_with_exception_context;duration_marker_missing_from_temporal_context,If there is no visit 6 months before enrollment
A,NCT02525991,NCT02525991_inc__item9_C1,computable_with_exception_context,1,,computability;non_computable_reason,exists,null,,,,,,,computable,partial,,exception_context_unresolved,safe_structural_repair_candidate,structural_repair,safe_normalization_candidate,Set computability='partial' and non_computable_reason='exception_context_unresolved'.,computable_with_exception_context|critical_qualifier_missing_from_entity|layer1a:computable_with_exception_context|layer1c:critical_qualifier_missing_from_entity,computable_with_exception_context;critical_qualifier_missing_from_entity,If a female is of childbearing potential and sexually active
A,NCT02525991,NCT02525991_inc__item9_C2,computable_with_exception_context,1,,computability;non_computable_reason,exists,null,,,,,,,computable,partial,,exception_context_unresolved,safe_structural_repair_candidate,structural_repair,safe_normalization_candidate,Set computability='partial' and non_computable_reason='exception_context_unresolved'.,computable_with_exception_context|critical_qualifier_missing_from_entity|layer1a:computable_with_exception_context|layer1c:critical_qualifier_missing_from_entity,computable_with_exception_context;critical_qualifier_missing_from_entity,If a female is of childbearing potential and sexually active
A,NCT02525991,NCT02525991_inc__item9_C5,computable_with_exception_context,1,,computability;non_computable_reason,exists,null,,,,,,,computable,partial,,exception_context_unresolved,safe_structural_repair_candidate,structural_repair,safe_normalization_candidate,Set computability='partial' and non_computable_reason='exception_context_unresolved'.,categorical_value_missing|computable_with_exception_context|duplicate_identical_leaf|existence_operator_on_quantitative_phrase|layer1a:computable_with_exception_context|layer1b:duplicate_identical_leaf|layer1c:categorical_value_missing|layer1c:existence_operator_on_quantitative_phrase|layer1c:temporal_marker_without_temporal_context|layer1d:negation_clause_with_exists_operator|negation_clause_with_exists_operator|temporal_marker_without_temporal_context,categorical_value_missing;computable_with_exception_context;duplicate_identical_leaf;existence_operator_on_quantitative_phrase;negation_clause_with_exists_operator;temporal_marker_without_temporal_context,patient must be non-lactating and non-pregnant (with a negative pregnancy test result at baseline visit)
A,NCT02525991,NCT02525991_inc__item9_C6,computable_with_exception_context,1,,computability;non_computable_reason,exists,null,,,,,,,computable,partial,,exception_context_unresolved,safe_structural_repair_candidate,structural_repair,safe_normalization_candidate,Set computability='partial' and non_computable_reason='exception_context_unresolved'.,categorical_value_missing|computable_with_exception_context|duplicate_identical_leaf|existence_operator_on_quantitative_phrase|layer1a:computable_with_exception_context|layer1b:duplicate_identical_leaf|layer1c:categorical_value_missing|layer1c:existence_operator_on_quantitative_phrase|layer1c:temporal_marker_without_temporal_context|layer1d:negation_clause_with_exists_operator|negation_clause_with_exists_operator|temporal_marker_without_temporal_context,categorical_value_missing;computable_with_exception_context;duplicate_identical_leaf;existence_operator_on_quantitative_phrase;negation_clause_with_exists_operator;temporal_marker_without_temporal_context,patient must be non-lactating and non-pregnant (with a negative pregnancy test result at baseline visit)
A,NCT02525991,NCT02525991_inc__item9_C7,computable_with_exception_context,1,,computability;non_computable_reason,exists,null,,,,,,,computable,partial,,exception_context_unresolved,safe_structural_repair_candidate,structural_repair,safe_normalization_candidate,Set computability='partial' and non_computable_reason='exception_context_unresolved'.,categorical_value_missing|computable_with_exception_context|duplicate_identical_leaf|existence_operator_on_quantitative_phrase|layer1a:computable_with_exception_context|layer1b:duplicate_identical_leaf|layer1c:categorical_value_missing|layer1c:existence_operator_on_quantitative_phrase|layer1c:temporal_marker_without_temporal_context|temporal_marker_without_temporal_context,categorical_value_missing;computable_with_exception_context;duplicate_identical_leaf;existence_operator_on_quantitative_phrase;temporal_marker_without_temporal_context,with a negative pregnancy test result at baseline visit
A,NCT02525991,NCT02525991_inc__item9_C8,computable_with_exception_context,1,,computability;non_computable_reason,exists,null,,,,,,,computable,partial,,exception_context_unresolved,safe_structural_repair_candidate,structural_repair,safe_normalization_candidate,Set computability='partial' and non_computable_reason='exception_context_unresolved'.,computable_with_exception_context|layer1a:computable_with_exception_context,computable_with_exception_context,have to agree to use a medically acceptable and effective birth control method throughout the study
A,NCT02201316,NCT02201316_exc__item1_C1,computable_with_exception_context,1,,computability;non_computable_reason,exists,null,,,,,,,computable,partial,,exception_context_unresolved,safe_structural_repair_candidate,structural_repair,safe_normalization_candidate,Set computability='partial' and non_computable_reason='exception_context_unresolved'.,computable_with_exception_context|duplicate_identical_leaf|layer1a:computable_with_exception_context|layer1b:duplicate_identical_leaf,computable_with_exception_context;duplicate_identical_leaf,Current or chronic history of liver disease
A,NCT02201316,NCT02201316_exc__item1_C2,computable_with_exception_context,1,,computability;non_computable_reason,exists,null,,,,,,,computable,partial,,exception_context_unresolved,safe_structural_repair_candidate,structural_repair,safe_normalization_candidate,Set computability='partial' and non_computable_reason='exception_context_unresolved'.,computable_with_exception_context|duplicate_identical_leaf|layer1a:computable_with_exception_context|layer1b:duplicate_identical_leaf,computable_with_exception_context;duplicate_identical_leaf,Current or chronic history of liver disease
A,NCT01856491,NCT01856491_exc__item3_C1,computable_with_exception_context,1,,computability;non_computable_reason,not_exists,null,,,,,,,computable,partial,,exception_context_unresolved,safe_structural_repair_candidate,structural_repair,safe_normalization_candidate,Set computability='partial' and non_computable_reason='exception_context_unresolved'.,computable_with_exception_context|layer1a:computable_with_exception_context|layer1d:negative_entity_with_not_exists_operator|negative_entity_with_not_exists_operator,computable_with_exception_context;negative_entity_with_not_exists_operator,Subject is enrolled in any other concurrent study without prior written approval from Boston Scientific (BSC)
A,NCT01856491,NCT01856491_exc__item3_C3,computable_with_exception_context,1,conservative_repair_issue_present_not_applied_in_06a:list_operator_without_list_value,computability;non_computable_reason,not_in,null,,,,,,,computable,partial,,exception_context_unresolved,safe_structural_repair_candidate,structural_repair,safe_normalization_candidate,Set computability='partial' and non_computable_reason='exception_context_unresolved'.,computable_with_exception_context|layer1a:computable_with_exception_context|layer1a:list_operator_without_list_value|list_operator_without_list_value,computable_with_exception_context;list_operator_without_list_value,observational studies/registries that are not in conflict
A,NCT01856491,NCT01856491_exc__item3_C4,computable_with_exception_context,1,conservative_repair_issue_present_not_applied_in_06a:list_operator_without_list_value,computability;non_computable_reason,not_in,null,,,,,,,computable,partial,,exception_context_unresolved,safe_structural_repair_candidate,structural_repair,safe_normalization_candidate,Set computability='partial' and non_computable_reason='exception_context_unresolved'.,computable_with_exception_context|layer1a:computable_with_exception_context|layer1a:list_operator_without_list_value|list_operator_without_list_value,computable_with_exception_context;list_operator_without_list_value,observational studies/registries that are not in conflict and do not affect the following:
A,NCT02874092,NCT02874092_exc__item13_C1,computable_with_exception_context,1,,computability;non_computable_reason,exists,null,,,,,,,computable,partial,,exception_context_unresolved,safe_structural_repair_candidate,structural_repair,safe_normalization_candidate,Set computability='partial' and non_computable_reason='exception_context_unresolved'.,computable_with_exception_context|layer1a:computable_with_exception_context,computable_with_exception_context,Patients considered to be at risk of bradycardic events
A,NCT02874092,NCT02874092_exc__item13_C2,computable_with_exception_context,1,,computability;non_computable_reason,exists,null,,,,,,,computable,partial,,exception_context_unresolved,safe_structural_repair_candidate,structural_repair,safe_normalization_candidate,Set computability='partial' and non_computable_reason='exception_context_unresolved'.,computable_with_exception_context|layer1a:computable_with_exception_context,computable_with_exception_context,known sick sinus syndrome
A,NCT02874092,NCT02874092_exc__item13_C3,computable_with_exception_context,1,,computability;non_computable_reason,exists,null,,,,,,,computable,partial,,exception_context_unresolved,safe_structural_repair_candidate,structural_repair,safe_normalization_candidate,Set computability='partial' and non_computable_reason='exception_context_unresolved'.,computable_with_exception_context|layer1a:computable_with_exception_context,computable_with_exception_context,second or third degree atrioventricular [AV)] block
A,NCT02874092,NCT02874092_exc__item13_C4,computable_with_exception_context,1,,computability;non_computable_reason,exists,null,,,,,,,computable,partial,,exception_context_unresolved,safe_structural_repair_candidate,structural_repair,safe_normalization_candidate,Set computability='partial' and non_computable_reason='exception_context_unresolved'.,computable_with_exception_context|layer1a:computable_with_exception_context,computable_with_exception_context,second or third degree atrioventricular [AV)] block
